Sponsor Registration SR-1,,Manual Testing Complete,,IN CICD,,,"Execution start date: 01/03
Execution completion: 01/05",,,,
Id,Description,Precondition,Test Step #,Test Step Description,Test Data,Test Step Expected Result,Pass/Fail/Comments if Fail,Added to code,Comments,Bug report,
SR-1,"User is a Sponsor attempting to register for the Invessio Marketplace, they register with their email and fill out all of their information, eventually ending up at the ""Sponsor Dashboard"". 

Happy Path Test",User is at the home page.,1,"User clicks the ""Register"" button.",,"User is directed to the ""Sign in"" page.","Pass Tablet, Pass Desktop, Pass Mobile",IN CICD,On UAT if the user already has an account they are automatically logged in and sent to the /dashboard page with no content.,https://gitlab.com/fullstack7485311/invessio/invessio-marketplace-ui/-/issues/328,Manual Testing Complete
,,,2,"User clicks the ""No account? Create one"" button.",,"User is directed to the ""Create Account"" page.","Pass Tablet, Pass Desktop, Pass Mobile",,sponsor 1.1,,
,,,3,"User enters their email address into the ""Email Address"" field.","""lindsay+sponsortest@heartandspadeventures.com"" ""lindsay+sponsormobile@heartandspadeventures.com""
""todd+sponsortest@heartandspadeventures.com"" ""jace+sponsortablet@heartandspadeventures.com""",User is able to enter a valid email address into the field.,"Pass Tablet, Pass Desktop, Pass Mobile",,,,
,,,4,"User clicks the ""Next"" button.",,User is directed to code page.,"Pass Tablet, Pass Desktop, Pass Mobile",,,,
,,,5,User opens email.,,User verifies that code was recieved.,"Pass Tablet, Pass Desktop, Pass Mobile",,,,
,,,6,"User enters code in the ""Enter Code"" box.","23657379
23037706","User sees the code in the ""Enter code"" box.","Pass Tablet, Pass Desktop, Pass Mobile",,,,
,,,7,"User clicks the ""Next"" button.",,"User is directed to the ""Add Details"" page.","Pass Tablet, Pass Desktop, Pass Mobile",,,,
,,,8,"User enters a Password into the ""Password"" field.","""SR-Pass123456""",User is able to enter a valid password into the field.,"Pass Tablet, Pass Desktop, Pass Mobile",,,,
,,,9,"User enters a Confirmation Password into the ""Re- enter Password"" field.","""SR-Pass123456""",User is able to enter a valid confirmation password into the field.,"Pass Tablet, Pass Desktop, Pass Mobile",,,,
,,,10,"User enters a display name into the ""Display name field.","""Sponsor test cases 1.1""",User is able to enter a valid Display Name into the field.,"Pass Tablet, Pass Desktop, Pass Mobile",,,,
,,,11,"User selects the ""Next"" button",,"User is directed to the ""Just the Basics""","Pass Tablet, Pass Desktop, Pass Mobile",,,,
,,,12,"User enters their first name into the ""First Name"" field.","""SR'TestF1""","User is able to enter their information into the ""First name"" field.","Pass Tablet, Pass Desktop, Pass Mobile",,,,
,,,13,"User enters their last name into the ""Last Name"" field.","""SR'TestL1""","User is able to enter their information into the ""Last name"" field.","Pass Tablet, Pass Desktop, Pass Mobile",,,,
,,,14,"User ""Contact Details"" should be pre-populated with the email entered on the ""Register to Continue"" section. ",,User should see their email address auto populated.,"Pass Tablet, Pass Desktop, Pass Mobile",,,,
,,,15,"User enters their phone number into the ""Phone Number"" field.","""801-389-6612""","User is able to enter a valid ""Phone number"" into the field.","Pass Tablet, Pass Desktop, Pass Mobile",,,,
,,,16,"User enters their company name into the ""Company Name"" field.","""SR TestCompany1""","User is able to enter a valid ""Company name"" into the field.","Pass Tablet, Pass Desktop, Pass Mobile",,,,
,,,17,"User enters their website URL into the ""Website URL"" field.","""yrefy.com/""","User is able to enter a valid ""Website URL"" into the field.","Pass Tablet, Pass Desktop, Pass Mobile",,,,
,,,20,"User clicks the ""Next"" button",,"User is directed to the ""Tell us how you plan to use Invessio Marketplace"" page","Pass Tablet, Pass Desktop, Pass Mobile",,,,
,,,21,"User selects ""Sponsor I want to list my offering"" button",,User is able to make the selection and page reflects the selection made. ,"Pass Tablet, Pass Desktop, Pass Mobile",,,,
,,,22,"User selects the ""Register"" button.",,"User is directed to the ""Sponsor Dashboard"".","Pass Tablet, Pass Desktop, Pass Mobile",,,,
Sponsor Registration SR-2,,Manual Testing Complete,,SCRIPTED,,,"Execution start date: 01/05
Execution completion: 01/05",,,,
 ,Description,Precondition,Test Step #,Test Step Description,Test Data,Test Step Expected Result,Pass/Fail/Comments if Fail,Added to code,"
Comments",Bug report,
SR-2,"User is a Sponsor attempting to register for the Invessio Marketplace. User initially attempts to proceed with missing or incorrect required information, then corrects it. Throughout the registration and onboarding process, they continue entering invalid information but resolve each issue before moving forward. User eventually ends at the ""Sponsor Dashboard"".",User is at the home page.,1,"User clicks the ""Register now"" button.",,"User is directed to the ""Sign in"" page.","Pass Desktop, Pass Mobile, Pass Tablet",SCRIPTED,,https://gitlab.com/fullstack7485311/invessio/invessio-marketplace-ui/-/issues/318,Manual Testing Complete
,,,2,"User clicks the ""No account? Create one"" button.",,User is directed to the registration page.,"Pass Desktop, Pass Mobile, Pass Tablet",,sponsor1.2,,
,,,3,"User tries to select the ""Next"" button with ""Email Address"" fields empty.",,"User sees ""Enter a valid email address"" message.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,4,"User enters an invalid email into the ""Email Address"" field and tries to leave the field.","""invalid email""","User clicks ""Next"" and sees the ""Enter a valid email address"" message.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,5,"User enters a valid email into the ""Email Address"" field.","""lindsay+sponsortestn@heartandspadeventures.com"" ""lindsay+sponsormobile2@heartandspadeventures.com"" ""jace+sponsortablet2@heartandspadeventures.com""","Error message ""Please enter a valid email address"" disappears. ","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,6,"User clicks the ""Next"" button.",,User is directed to the code page.,"Pass Desktop, Pass Mobile, Pass Tablet",,“Try Again” Button Wrapping on Enter Code Page (Tablet & Mobile),,
,,,7,User opens email.,,User verifies that code was recieved.,"Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,8,"User enters invalid code into the ""Enter Code"" box.",1222,"User sees code in the ""Enter code"" box.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,9,"User clicks the""Next"" button.",,"User sees error message ""That code didn't work. Check the code and try again. Invalid code disapears from the ""Enter code"" box.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,10,User waits 90 seconds,,"Text reading ""Didn't receive it? Please wait for a few minutes [try again]."" **try again text is a button**","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,11,"User clicks the ""try again"" button.",,"User sees the ""try again"" message dissapear.","Pass Desktop, Pass Mobile, Pass Tablet",,,,
,,,12,User opens email.,,User verifies that code was recieved.,"Pass Desktop, Pass Mobile, Pass Tablet",,,,
